demo_npi,series,value
1457394306,peer_group,2531.27
1457394306,peer_group,2473.57
1457394306,peer_group,2372.17
1457394306,peer_group,2290.84
1457394306,peer_group,2290.72
1457394306,peer_group,2286.25
1457394306,peer_group,2286.18
1457394306,peer_group,2273.98
1457394306,peer_group,2271.21
1457394306,peer_group,2239.49
1457394306,peer_group,2230.17
1457394306,peer_group,2150.26
1457394306,peer_group,2125.53
1457394306,peer_group,2104.00
1457394306,peer_group,2088.33
1457394306,peer_group,2074.48
1457394306,peer_group,2068.17
1457394306,peer_group,2045.13
1457394306,peer_group,1972.26
1457394306,peer_group,1964.43
1457394306,peer_group,1956.00
1457394306,peer_group,1923.27
1457394306,peer_group,1914.94
1457394306,peer_group,1864.97
1457394306,peer_group,1847.52
1457394306,peer_group,1811.04
1457394306,peer_group,1808.60
1457394306,peer_group,1798.40
1457394306,peer_group,1785.95
1457394306,peer_group,1772.06
1457394306,peer_group,1720.82
1457394306,peer_group,1716.21
1457394306,peer_group,1622.06
1457394306,peer_group,1588.37
1457394306,peer_group,1569.79
1457394306,peer_group,1563.23
1457394306,peer_group,1540.35
1457394306,peer_group,1532.29
1457394306,peer_group,1506.48
1457394306,peer_group,1456.17
1457394306,peer_group,1419.09
1457394306,peer_group,1418.04
1457394306,peer_group,1392.48
1457394306,peer_group,1384.65
1457394306,peer_group,1346.05
1457394306,peer_group,1338.81
1457394306,peer_group,1319.59
1457394306,peer_group,1305.98
1457394306,peer_group,1294.08
1457394306,peer_group,1278.84
1457394306,peer_group,1278.44
1457394306,peer_group,1269.06
1457394306,peer_group,1210.55
1457394306,peer_group,1195.30
1457394306,peer_group,1179.17
1457394306,peer_group,1171.58
1457394306,peer_group,1160.73
1457394306,peer_group,1151.56
1457394306,peer_group,1142.75
1457394306,peer_group,1137.83
1457394306,peer_group,1126.63
1457394306,peer_group,1121.80
1457394306,peer_group,1119.55
1457394306,peer_group,1116.32
1457394306,peer_group,1108.58
1457394306,peer_group,1099.72
1457394306,peer_group,1096.01
1457394306,peer_group,1073.34
1457394306,peer_group,1071.73
1457394306,peer_group,1066.72
1457394306,peer_group,1060.46
1457394306,peer_group,1060.39
1457394306,peer_group,1059.79
1457394306,peer_group,1039.72
1457394306,peer_group,1039.40
1457394306,peer_group,1019.40
1457394306,peer_group,993.26
1457394306,peer_group,985.14
1457394306,peer_group,976.88
1457394306,peer_group,958.03
1457394306,peer_group,947.28
1457394306,peer_group,936.80
1457394306,peer_group,934.53
1457394306,peer_group,911.27
1457394306,peer_group,894.12
1457394306,peer_group,874.84
1457394306,peer_group,863.85
1457394306,peer_group,859.15
1457394306,peer_group,851.22
1457394306,peer_group,834.71
1457394306,peer_group,823.10
1457394306,peer_group,814.09
1457394306,peer_group,814.00
1457394306,peer_group,801.06
1457394306,peer_group,800.11
1457394306,peer_group,795.29
1457394306,peer_group,776.97
1457394306,peer_group,774.68
1457394306,peer_group,765.94
1457394306,peer_group,760.19
1457394306,peer_group,754.59
1457394306,peer_group,720.91
1457394306,peer_group,713.88
1457394306,peer_group,712.19
1457394306,peer_group,702.60
1457394306,peer_group,682.32
1457394306,peer_group,681.54
1457394306,peer_group,675.18
1457394306,peer_group,671.31
1457394306,peer_group,646.38
1457394306,peer_group,620.07
1457394306,peer_group,610.01
1457394306,peer_group,607.72
1457394306,peer_group,605.10
1457394306,peer_group,580.79
1457394306,peer_group,580.46
1457394306,peer_group,573.84
1457394306,peer_group,561.63
1457394306,peer_group,559.25
1457394306,peer_group,554.62
1457394306,peer_group,552.82
1457394306,peer_group,551.72
1457394306,peer_group,546.17
1457394306,peer_group,523.41
1457394306,peer_group,522.82
1457394306,peer_group,522.79
1457394306,peer_group,507.76
1457394306,peer_group,507.32
1457394306,peer_group,497.69
1457394306,peer_group,496.91
1457394306,peer_group,493.66
1457394306,peer_group,490.16
1457394306,peer_group,487.48
1457394306,peer_group,483.35
1457394306,peer_group,471.44
1457394306,peer_group,465.51
1457394306,peer_group,460.87
1457394306,peer_group,452.97
1457394306,peer_group,452.06
1457394306,peer_group,451.86
1457394306,peer_group,447.46
1457394306,peer_group,440.94
1457394306,peer_group,440.28
1457394306,peer_group,438.43
1457394306,peer_group,436.04
1457394306,peer_group,435.18
1457394306,peer_group,433.46
1457394306,peer_group,433.17
1457394306,peer_group,427.47
1457394306,peer_group,426.87
1457394306,peer_group,423.75
1457394306,peer_group,422.12
1457394306,peer_group,420.18
1457394306,peer_group,413.74
1457394306,peer_group,412.92
1457394306,peer_group,408.14
1457394306,peer_group,400.18
1457394306,peer_group,399.93
1457394306,peer_group,399.71
1457394306,peer_group,395.45
1457394306,peer_group,393.75
1457394306,peer_group,388.61
1457394306,peer_group,385.06
1457394306,peer_group,382.21
1457394306,peer_group,380.66
1457394306,peer_group,377.57
1457394306,peer_group,375.58
1457394306,peer_group,371.98
1457394306,peer_group,370.53
1457394306,peer_group,364.06
1457394306,peer_group,355.24
1457394306,peer_group,354.13
1457394306,peer_group,353.97
1457394306,peer_group,353.08
1457394306,peer_group,350.35
1457394306,peer_group,349.01
1457394306,peer_group,334.62
1457394306,peer_group,332.25
1457394306,peer_group,330.39
1457394306,peer_group,325.40
1457394306,peer_group,314.21
1457394306,peer_group,309.97
1457394306,peer_group,307.64
1457394306,peer_group,306.31
1457394306,peer_group,304.06
1457394306,peer_group,301.18
1457394306,peer_group,297.66
1457394306,peer_group,296.51
1457394306,peer_group,294.41
1457394306,peer_group,293.73
1457394306,peer_group,292.47
1457394306,peer_group,291.27
1457394306,peer_group,290.76
1457394306,peer_group,284.00
1457394306,peer_group,283.61
1457394306,peer_group,280.75
1457394306,peer_group,280.63
1457394306,peer_group,279.85
1457394306,peer_group,278.26
1457394306,peer_group,276.65
1457394306,peer_group,275.23
1457394306,peer_group,272.79
1457394306,peer_group,269.86
1457394306,peer_group,268.43
1457394306,peer_group,265.77
1457394306,peer_group,264.01
1457394306,peer_group,263.45
1457394306,peer_group,256.43
1457394306,peer_group,255.95
1457394306,peer_group,255.61
1457394306,peer_group,252.21
1457394306,peer_group,249.59
1457394306,peer_group,249.11
1457394306,peer_group,248.58
1457394306,peer_group,247.54
1457394306,peer_group,244.55
1457394306,peer_group,243.71
1457394306,peer_group,242.27
1457394306,peer_group,241.26
1457394306,peer_group,239.95
1457394306,peer_group,234.86
1457394306,peer_group,232.96
1457394306,peer_group,229.26
1457394306,peer_group,228.12
1457394306,peer_group,224.24
1457394306,peer_group,221.94
1457394306,peer_group,221.51
1457394306,peer_group,219.51
1457394306,peer_group,219.39
1457394306,peer_group,216.54
1457394306,peer_group,216.27
1457394306,peer_group,215.16
1457394306,peer_group,213.92
1457394306,peer_group,212.80
1457394306,peer_group,212.04
1457394306,peer_group,205.28
1457394306,peer_group,205.02
1457394306,peer_group,202.63
1457394306,peer_group,198.65
1457394306,peer_group,197.97
1457394306,peer_group,196.77
1457394306,peer_group,195.45
1457394306,peer_group,194.14
1457394306,peer_group,192.15
1457394306,peer_group,191.63
1457394306,peer_group,190.92
1457394306,peer_group,190.77
1457394306,peer_group,188.28
1457394306,peer_group,188.21
1457394306,peer_group,188.15
1457394306,peer_group,186.65
1457394306,peer_group,182.90
1457394306,peer_group,180.70
1457394306,peer_group,179.55
1457394306,peer_group,178.60
1457394306,peer_group,178.36
1457394306,peer_group,177.80
1457394306,peer_group,172.75
1457394306,peer_group,171.13
1457394306,peer_group,167.87
1457394306,peer_group,167.45
1457394306,peer_group,165.53
1457394306,peer_group,164.74
1457394306,peer_group,163.12
1457394306,peer_group,160.51
1457394306,peer_group,159.80
1457394306,peer_group,159.70
1457394306,peer_group,157.65
1457394306,peer_group,157.02
1457394306,peer_group,155.79
1457394306,peer_group,155.18
1457394306,peer_group,154.31
1457394306,peer_group,151.95
1457394306,peer_group,150.48
1457394306,peer_group,149.95
1457394306,peer_group,147.82
1457394306,peer_group,147.42
1457394306,peer_group,146.87
1457394306,peer_group,145.58
1457394306,peer_group,145.23
1457394306,peer_group,144.21
1457394306,peer_group,143.93
1457394306,peer_group,143.82
1457394306,peer_group,142.83
1457394306,peer_group,142.73
1457394306,peer_group,142.42
1457394306,peer_group,142.04
1457394306,peer_group,140.81
1457394306,peer_group,140.43
1457394306,peer_group,139.58
1457394306,peer_group,137.07
